,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Malvern, Rouge",43.8066863,-79.1943534,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
1,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,Chris Effects Painting,43.784343,-79.163742,Construction & Landscaping
2,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
3,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,RBC Royal Bank,43.76678992471017,-79.19115118872593,Bank
4,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
5,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Sail Sushi,43.765951,-79.191275,Restaurant
6,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Enterprise Rent-A-Car,43.7640757,-79.1934057,Rental Car Location
7,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771973,Medical Center
8,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767704,-79.18949,Intersection
9,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
10,Woburn,43.7709921,-79.2169174,Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
11,Woburn,43.7709921,-79.2169174,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
12,Woburn,43.7709921,-79.2169174,Korean Grill House,43.7708117291354,-79.21450208834013,Korean BBQ Restaurant
13,Scarborough Village,43.7447342,-79.2394761,McCowan Park,43.74508851212816,-79.239335687338,Playground
14,Scarborough Village,43.7447342,-79.2394761,True Discount Convenience Store,43.74385420196717,-79.24464963318577,Convenience Store
15,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
16,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
17,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Bros. CONVENIENCE,43.72778143829621,-79.26570835903846,Convenience Store
18,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Dollarama,43.727092,-79.265784,Discount Store
19,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Hakka No.1,43.72768846107342,-79.26605655631751,Chinese Restaurant
20,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
21,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
22,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
23,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
24,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
25,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
26,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
27,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
28,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
29,"Wexford, Maryvale",43.7500715,-79.2958491,Crown Pastries,43.746098,-79.293142,Bakery
30,"Wexford, Maryvale",43.7500715,-79.2958491,Subway,43.746267251959516,-79.29319313129918,Sandwich Place
31,"Wexford, Maryvale",43.7500715,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
32,"Wexford, Maryvale",43.7500715,-79.2958491,Wexford Heights Plaza,43.74613567457937,-79.29378248248864,Shopping Mall
33,"Wexford, Maryvale",43.7500715,-79.2958491,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
34,"Wexford, Maryvale",43.7500715,-79.2958491,Banh Mi Metro,43.74583,-79.295309,Vietnamese Restaurant
35,"Wexford, Maryvale",43.7500715,-79.2958491,Sequoia Lounge,43.74564498729392,-79.29573737087405,Middle Eastern Restaurant
36,Agincourt,43.7942003,-79.2620294,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
37,Agincourt,43.7942003,-79.2620294,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
38,Agincourt,43.7942003,-79.2620294,Twilight,43.791999483291015,-79.25858447143591,Lounge
39,Agincourt,43.7942003,-79.2620294,Commander Arena,43.794867324063404,-79.26798888527924,Skating Rink
40,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Remezzo Italian Bistro,43.778649,-79.308264,Italian Restaurant
41,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
42,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Eight Noodles,43.77823412485005,-79.30829897588661,Noodle House
43,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,TD Canada Trust,43.7791686,-79.3036167,Bank
44,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
45,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Petro-Canada,43.779337,-79.307682,Gas Station
46,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Little Caesars Pizza,43.78056271894292,-79.2986242771319,Pizza Place
47,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,KFC,43.7804,-79.3007,Fast Food Restaurant
48,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
49,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Circle K,43.7809377,-79.2986338,Convenience Store
50,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
51,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,McNicoll & Brimley,43.815460842842725,-79.28171615206458,Intersection
52,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,Port Royal Park,43.815477,-79.289773,Park
53,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,Milliken Public School Playground,43.81538282984429,-79.2898673242174,Playground
54,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Mr Congee Chinese Cuisine 龍粥記,43.798878792587615,-79.3183345011537,Chinese Restaurant
55,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Price Chopper,43.799444969304986,-79.3185634598668,Grocery Store
56,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,RBC Royal Bank,43.798235996624136,-79.31795225759826,Bank
57,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Subway,43.79867122318589,-79.31847549171897,Sandwich Place
58,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,KFC,43.7989384013184,-79.31885368338149,Fast Food Restaurant
59,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Shoppers Drug Mart,43.799966,-79.317985,Pharmacy
60,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Tim Hortons,43.7991018,-79.3187148,Coffee Shop
61,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Pizza Pizza,43.79790927666095,-79.31811332702635,Pizza Place
62,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,McDonald's,43.79824882031983,-79.31816666829309,Fast Food Restaurant
63,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Eggsmart,43.796375,-79.318681,Breakfast Spot
64,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,One's Better Living,43.798866,-79.31859,Furniture / Home Store
65,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Nantha's Bakery,43.79643013115188,-79.3191507994383,Indian Restaurant
66,Hillcrest Village,43.8037622,-79.3634517,New York Fries,43.80366383775661,-79.36390544874158,Fast Food Restaurant
67,Hillcrest Village,43.8037622,-79.3634517,Eagle's Nest Golf Club,43.805454826002794,-79.36418592243415,Golf Course
68,Hillcrest Village,43.8037622,-79.3634517,AY Jackson Pool,43.804515413699576,-79.36613821581467,Pool
69,Hillcrest Village,43.8037622,-79.3634517,Villa Madina,43.80168506227364,-79.36393844569061,Mediterranean Restaurant
70,Hillcrest Village,43.8037622,-79.3634517,Duncan Creek Park,43.80553928816196,-79.36069456944033,Dog Run
71,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,The LEGO Store,43.77820727238842,-79.34348299621146,Toy / Game Store
72,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,CF Fairview Mall,43.77798094562394,-79.3443966988859,Shopping Mall
73,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Apple Fairview,43.7778832,-79.3437891,Electronics Store
74,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Moxie's Classic Grill,43.777778810576905,-79.34318499889385,American Restaurant
75,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Purdys Chocolatier,43.77816,-79.344154,Chocolate Shop
76,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Starbucks,43.77799,-79.344091,Coffee Shop
77,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Michel's Baguette,43.77708227220403,-79.34455653003414,Bakery
78,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,De Berardini's,43.77806925637981,-79.34264197549473,Salon / Barbershop
79,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,SilverCity,43.77868093228815,-79.3440850072426,Movie Theater
80,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Booster Juice,43.77742786,-79.3449699,Juice Bar
81,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,New York Fries - Fairview Mall,43.77860499015611,-79.34357713182652,Restaurant
82,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Hero Certified Burgers,43.7772948385197,-79.34458372068603,Burger Joint
83,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Aroma Espresso Bar,43.777700197902725,-79.34465166972005,Coffee Shop
84,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Shoppers Drug Mart,43.77817,-79.345014,Pharmacy
85,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,H&M,43.77754859086118,-79.34560423018411,Clothing Store
86,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Fairview Library Theatre,43.779018057023805,-79.34652599431665,Theater
87,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Hudson's Bay,43.777830351654046,-79.34304327486974,Department Store
88,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Old Navy,43.7779901,-79.3440914,Clothing Store
89,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Ten Ren's Tea Time,43.777158444629066,-79.34453087278449,Juice Bar
90,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,LCBO,43.77895496200283,-79.34504796258686,Liquor Store
91,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,RBC Royal Bank,43.777303882018465,-79.3446527392512,Bank
92,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,TD Canada Trust,43.777763,-79.345974,Bank
93,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,EB Games,43.7781866230844,-79.3433096596408,Video Game Store
94,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Fairview Mall Food Garden,43.77836930887007,-79.34321606591291,Food Court
95,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Thai Express,43.77799,-79.344091,Restaurant
