,Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy’s,43.807448419347566,-79.19905558052072,Fast Food Restaurant
1,1,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Chris Effects Painting,43.784343,-79.163742,Construction & Landscaping
2,2,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Royal Canadian Legion,43.782533328382975,-79.16308473261681,Bar
3,3,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,RBC Royal Bank,43.76678992471017,-79.19115118872594,Bank
4,4,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
5,5,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Sail Sushi,43.765951,-79.191275,Restaurant
6,6,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Enterprise Rent-A-Car,43.76407570000001,-79.1934057,Rental Car Location
7,7,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771974,Medical Center
8,8,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767703999999995,-79.18949,Intersection
9,9,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
10,10,Woburn,43.7709921,-79.21691740000001,Starbucks,43.77003720162522,-79.22115586641958,Coffee Shop
11,11,Woburn,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
12,12,Woburn,43.7709921,-79.21691740000001,Korean Grill House,43.770811729135396,-79.21450208834013,Korean BBQ Restaurant
13,13,Scarborough Village,43.7447342,-79.23947609999999,McCowan Park,43.745088512128156,-79.239335687338,Playground
14,14,Scarborough Village,43.7447342,-79.23947609999999,True Discount Convenience Store,43.743854201967174,-79.24464963318577,Convenience Store
15,15,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Giant Tiger,43.72744662939135,-79.26624035854762,Department Store
16,16,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
17,17,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Bros. CONVENIENCE,43.72778143829621,-79.26570835903846,Convenience Store
18,18,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Dollarama,43.727092,-79.265784,Discount Store
19,19,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Hakka No.1,43.72768846107342,-79.26605655631752,Chinese Restaurant
20,20,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
21,21,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
22,22,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Dairy Queen,43.710377704650135,-79.29070115089418,Ice Cream Shop
23,23,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
24,24,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913773,Bus Line
25,25,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Bakery On The Go,43.71127090520577,-79.27950587661705,Bakery
26,26,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Cafe on the go,43.711151043741474,-79.2794692351292,Bakery
27,27,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
28,28,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184504,-79.28650639185544,Soccer Field
29,29,"Wexford, Maryvale",43.750071500000004,-79.2958491,Crown Pastries,43.746097999999996,-79.293142,Bakery
30,30,"Wexford, Maryvale",43.750071500000004,-79.2958491,Subway,43.74626725195952,-79.29319313129919,Sandwich Place
31,31,"Wexford, Maryvale",43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
32,32,"Wexford, Maryvale",43.750071500000004,-79.2958491,Wexford Heights Plaza,43.746135674579364,-79.29378248248864,Shopping Mall
33,33,"Wexford, Maryvale",43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.751288204040634,-79.30150777101517,Auto Garage
34,34,"Wexford, Maryvale",43.750071500000004,-79.2958491,Banh Mi Metro,43.74583,-79.295309,Vietnamese Restaurant
35,35,"Wexford, Maryvale",43.750071500000004,-79.2958491,Sequoia Lounge,43.74564498729392,-79.29573737087404,Middle Eastern Restaurant
36,36,Agincourt,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
37,37,Agincourt,43.7942003,-79.26202940000002,El Pulgarcito,43.79264769528388,-79.25920775335268,Latin American Restaurant
38,38,Agincourt,43.7942003,-79.26202940000002,Twilight,43.791999483291015,-79.25858447143591,Lounge
